ID,Name,Campaign Id,Products,Last Upload
28106,Imported Shopify Catalog,44202,897,"Aug 9, 2026",
28325,Imported Shopify Catalog,42778,2126,"Aug 9, 2026",
28523,Imported Shopify Catalog,44766,3565,"Aug 9, 2026",
28524,Imported Shopify Catalog,44766,3565,"Aug 9, 2026",
28532,Imported Shopify Catalog,44724,1886,"Aug 9, 2026",
28542,Best Sellers,33113,4017,"Aug 9, 2026",
28543,Fall & Winter,33113,2435,"Aug 9, 2026",
28555,GPB 2nd ,41066,10,"Aug 9, 2026",
28565,Germany 4th,41066,10,"Aug 9, 2026",
28617,Imported Shopify Catalog,44481,486,"Jul 6, 2026",
28729,Bleequp products,42783,42,"Aug 9, 2026",
28791,Imported Shopify Catalog,45081,4278,"Aug 9, 2026",
28834,Imported Shopify Catalog,44745,8260,"Aug 9, 2026",
28953,Imported Shopify Catalog,44973,13891,"Aug 9, 2026",
29087,USA,34963,18736,"Aug 9, 2026",
29089,uk,34963,18736,"Aug 9, 2026",
29091,GERMANY,34963,18736,"Aug 9, 2026",
29296,Imported Shopify Catalog,45783,267,"Aug 9, 2026",
29692,Tangem Wallet Product Catalog,36603,18,"Dec 12, 2025",
29785,Imported Shopify Catalog,44974,480,"Aug 9, 2026",
29878,Imported Shopify Catalog,46802,6548,"Aug 9, 2026",
29879,Imported Shopify Catalog,46802,6548,"Aug 9, 2026",
29881,esim,34279,1400,"Aug 9, 2026",
29956,Promeed Product Category,46700,970,"Aug 9, 2026",
29966,Mens Wear,33113,308,"Jul 23, 2026",
30006,ChillSim Product Catalog,45279,1071,"Aug 8, 2026",
30019,Imported Shopify Catalog,46806,4166,"Aug 9, 2026",
30028,Imported Shopify Catalog,46805,3861,"Aug 9, 2026",
30064,Imported Shopify Catalog,47146,2696,"Aug 9, 2026",
30226,Imported Shopify Catalog,47303,10,"Aug 9, 2026",
30232,Imported Amazon Catalog,37610,993,"Aug 9, 2026",
