magazin,nivel,scor,platforma,comision_max_pct,are_promotie,cod_cupon,in_feed_produse,pagina_brand,link_afiliat_real,sales_number
amofashionltd.com,ASCUNS,11.1,impact,20.0,0,0,0,0,0,0
joinappex.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
cellresearchcorp.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
pi.inc,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
eezysun.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
g4free.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
ice.gi,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
jalbum.net,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
flowith.io,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
marketxls.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
maya.net,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
omnisend.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
orbitmobile.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
outin.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
plusmetrica.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
selenichast.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
bstd.ai,ASCUNS,11.1,impact,20.0,0,0,0,0,0,0
udemy.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
miniolie.com,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
chillsim.net,NORMAL,11.1,impact,20.0,0,0,0,0,1,0
mscompanyltd.jp,ASCUNS,11.1,impact,20.0,0,0,0,0,0,0
vecteezy.com,NORMAL,11.0,impact,20.0,0,0,0,0,1,0
vegis.ro,NORMAL,10.9,profitshare,8.0,0,0,0,1,1,0
kamin.ro,NORMAL,10.7,2performant,10.0,0,0,1,0,1,0
dacris.net,NORMAL,10.7,2performant,10.0,0,0,1,0,1,0
coutureforgentlemen.ro,NORMAL,10.7,2performant,10.0,0,0,1,0,1,0
optiblu.ro,NORMAL,10.7,2performant,10.0,0,0,1,0,1,0
iaohi.com,ASCUNS,10.4,impact,18.0,0,0,0,0,0,0
clym.io,ASCUNS,10.4,impact,18.0,0,0,0,0,0,0
macrosoft.store,ASCUNS,10.4,impact,18.0,0,0,0,0,0,0
zerobounce.net,NORMAL,10.4,impact,18.0,0,0,0,0,1,0
minuneanaturii.ro,NORMAL,10.3,2performant,8.0,0,0,1,0,1,0
foliecubule.ro,NORMAL,10.3,2performant,8.0,0,0,1,0,1,0
targulcartii.ro,NORMAL,10.2,2performant,7.0,0,0,1,0,1,0
edez.ro,NORMAL,10.2,2performant,7.0,0,0,1,0,1,0
kamu.ro,NORMAL,10.2,2performant,7.5,0,0,1,0,1,0
le-parmentier.com,ASCUNS,10.1,impact,16.0,0,0,0,0,0,0
razer.com,NORMAL,10.0,impact,10.0,0,0,0,0,1,0
navstore.ro,NORMAL,10.0,2performant,6.0,0,0,1,0,1,0
exakids.com,NORMAL,10.0,2performant,6.0,0,0,1,0,1,0
lenovo.com,LOW,9.9,impact,8.0,0,0,0,0,1,0
aimer.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
airalo.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
artzmiami.com,ASCUNS,9.9,impact,15.0,0,0,0,0,0,0
bcengi.com,ASCUNS,9.9,impact,15.0,0,0,0,0,0,0
roam.virginconnect.com,ASCUNS,9.9,impact,15.0,0,0,0,0,0,0
cliganic.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
cognifit.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
mydataninja.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
pelago.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
linnerlife.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
margovil.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
niphean.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
plantifique.com,ASCUNS,9.9,impact,15.0,0,0,0,0,0,0
suosooptics.com,ASCUNS,9.9,impact,15.0,0,0,0,0,0,0
voyeglobal.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
helloice.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
zereanlabs.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
airzlink.com,LOW,9.9,impact,15.0,0,0,0,0,1,0
rubyfashion.ro,LOW,9.9,profitshare,20.0,0,0,0,0,1,0
logitech.com,LOW,9.8,impact,8.0,0,0,0,0,1,0
crocs.com,LOW,9.8,impact,10.0,0,0,0,0,1,0
laavooextensions.com,ASCUNS,9.8,impact,14.0,0,0,0,0,0,0
store.hohem.com,LOW,9.8,impact,14.0,0,0,0,0,1,0
remediumfarm.ro,LOW,9.8,2performant,5.0,0,0,1,0,1,0
eumed.ro,LOW,9.8,2performant,5.0,0,0,1,0,1,0
europroduse.ro,LOW,9.8,2performant,5.0,0,0,1,0,1,0
delphinusworld.com,LOW,9.6,impact,13.0,0,0,0,0,1,0
meshnology.com,LOW,9.6,impact,13.0,0,0,0,0,1,0
stockx.com,LOW,9.5,impact,8.0,0,0,0,0,1,0
muc-off.com,LOW,9.5,impact,10.0,0,0,0,0,1,0
kitunghii.ro,LOW,9.5,2performant,15.0,0,0,0,1,1,0
pagewings.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
zolucky.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
de.eureka.com,ASCUNS,9.4,impact,12.0,0,0,0,0,0,0
mooyius.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
outfitrer.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
poposoapsolar.com,ASCUNS,9.4,impact,12.0,0,0,0,0,0,0
incerunmen.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
italist.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
torraslife.com,LOW,9.4,impact,12.0,0,0,0,0,1,0
toyletite.store,ASCUNS,9.4,impact,12.0,0,0,0,0,0,0
