Advertiser URL,Advertiser Category,Program ID,Program Name,Contract Status,Tracking Link,Allows Deep Linking,Payout
https://ebrands.com/,Patio & Garden,18359,Big Bat Box,Active,https://big-bat-box.pxf.io/c/7401119/1582173/18359,true,Online Sale: 15%
https://ebrands.com/,,18360,Striking Viking,Active,https://viking-beard-gear.pxf.io/c/7401119/1582181/18360,true,Online Sale : 10%
https://ebrands.com/,Home & Garden,18361,Mioeco,Active,https://mioeco.sjv.io/c/7401119/1582184/18361,true,Online Sale: 10%
https://ebrands.com/,Bed & Bath,18531,Pure Scentum Affiliate Program,Active,https://pure-scentum.pxf.io/c/7401119/1597424/18531,true,Online Sale: 10%
https://ebrands.com/,Art & Craft Supplies,18532,Hieno Affiliate program,Active,https://hieno-supplies.sjv.io/c/7401119/1597427/18532,true,Online Sale: 10%
https://ebrands.com/,Spa & Personal Grooming,18533,Ontaki Affiliate program,Active,https://ontaki.pxf.io/c/7401119/1597430/18533,true,Online Sale: 10%
https://ebrands.com/,Women's Apparel,18534,Asebbo Affiliate program,Active,https://asebbo.pxf.io/c/7401119/1597432/18534,true,Online Sale: 10%
https://ebrands.com/,Bed & Bath,18535,Byre Affiliate program,Active,https://byre-group.pxf.io/c/7401119/1597434/18535,true,Online Sale: 10%
https://ebrands.com/,Spa & Personal Grooming,18536,Hana Emi Affiliate program,Active,https://hana-emi.pxf.io/c/7401119/1597459/18536,true,Online Sale: 10%
https://ebrands.com/,Clothing & Accessories,18660,Baby Deep Sleep ,Active,https://babydeepsleep.pxf.io/c/7401119/1608958/18660,true,Online Sale: 10%
https://ebrands.com/,Games/Toys,18664,GAFLY,Active,https://gafly.pxf.io/c/7401119/1608966/18664,true,Online Sale: 10%
https://ebrands.com/,Sports Apparel & Accessories,24272,Open Goaaal,Active,https://opengoaaal.sjv.io/c/7401119/1979994/24272,true,Online Sale: 5%
https://ebrands.com/,Sports Apparel & Accessories,24273,Angles90,Active,https://angles90.sjv.io/c/7401119/1979996/24273,true,Online Sale: 10%
https://ebrands.com/,Sports Apparel & Accessories,24275,Lux,Active,https://lux.sjv.io/c/7401119/1980001/24275,true,Online Sale: 10%
https://ebrands.com/,Spa & Personal Grooming,24278,Charlemange,Active,https://charlemange.pxf.io/c/7401119/1980006/24278,true,Online Sale: 10%
https://ebrands.com/,Clothing & Accessories,24279,Baby Sunnies,Active,https://babysunnies.pxf.io/c/7401119/1980009/24279,true,Online Sale: 10%
https://thebestprop.com,Loans & Financial Services,48235,THE BEST PROP,Active,https://ebudgetltd.sjv.io/c/7401119/3777355/48235,true,"Upsell / Higher-tier Challenge Purchase: 0%
Challenge purchase: 0%
User Signup: USD0.00"
https://www.esdcodes.com,Software,51739,Esd Codes,Active,https://ecokeyportalcollc.pxf.io/c/7401119/3869512/51739,true,Sale: 5%
https://educative.io,Career,46512,Educative Inc - Affiliate Program,Active,https://educative.pxf.io/c/7401119/3721030/46512,true,"Paid Subscription: 20%
Creator Post: $0.00"
https://www.eezysun.com/,Outdoors & Recreation,26398,EEZYSUN,Active,https://eezybrandscorporation.pxf.io/c/7401119/2095091/26398,true,Online Sale: 20%
http://efem.es,Learning,30086,EFEM(ES),Active,https://efem.pxf.io/c/7401119/2435853/30086,true,Online booking: 16%-60%
http://elightup.com,"Themes, Code, Graphics, Video & more",12511,Meta Box,Active,https://metabox.sjv.io/c/7401119/914269/12511,false,Sale: 30%
http://elightup.com,"Themes, Code, Graphics, Video & more",16052,Slim SEO,Active,https://slim-seo.sjv.io/c/7401119/1328334/16052,true,Online Sale: 30%
http://www.elitehavens.com,Accommodations,33158,Elite Havens,Active,https://elitehavens.pxf.io/c/7401119/2855822/33158,true,Online Booking: 6%
https://www.mc-prime.com,Loans & Financial Services,49323,Magic Compass Capital Limited,Active,https://magiccompasscapitallimited.pxf.io/c/7401119/3806141/49323,true,"Trade: USD150.00
Android: USD0.00
IOS: USD0.00
Deposit: USD0.00
Sign-Up: USD0.00"
https://www.mc-prime.com,Loans & Financial Services,54299,Magic Compass Capital Limited - Creator,Active,https://magiccompasscapitallimited.pxf.io/c/7401119/3940003/54299,true,"Trade: USD150.00
Creator Post: USD0.00"
http://entertainment.emaar.com,Vacations,46763, Emaar Entertainment ,Active,https://emaarentertainment.sjv.io/c/7401119/3729367/46763,true,Online Booking: 5%
https://www.zenhotels.com/,Transportation,43614,ZenHotels,Active,https://emergingtravelinc.pxf.io/c/7401119/3321365/43614,true,Consumed Booking: 6.5%
http://www.emiratesparkzooandresort.com/,Tickets & Shows,38499,Emirates Park Zoo & Resort,Active,https://emiratesparkzooresort.sjv.io/c/7401119/3103509/38499,true,Online Booking: 5%
https://www.tunefab.com,Apps,34054,Tunefab,Active,https://tunefab.sjv.io/c/7401119/2903070/34054?campaign%20source=impact&campaign%20medium=affiliate&campaign%20name=impact-default,true,Online Sale: 40%
https://www.tunefab.com,Apps,34464,MuConvert,Active,https://muconvert.pxf.io/c/7401119/2925005/34464,true,Online Sale: 40%
http://www.pelago.com,Transportation,22181,Pelago by Singapore Airlines,Active,https://pelago.pxf.io/c/7401119/1851844/22181,true,Online Booking: 2%-15%
https://engwe-bikes-eu.com/,,30352,engwe.com,Active,https://engwecom.pxf.io/c/7401119/2511752/30352,true,Online Sale: 3%
https://www.linnerlife.com,,26400,LINNER OTC Heraing Aids,Active,https://ephamedtechinc.pxf.io/c/7401119/2095211/26400,true,Online Sale: 15%
https://www.buybestgear.com,Women's Apparel,16384,Ursime,Active,https://ursime.pxf.io/c/7401119/1361811/16384,true,Online Sale: 2%
https://www.buybestgear.com,Women's Apparel,22722,Sisterparty,Active,https://sisterparty.sjv.io/c/7401119/1899344/22722,false,Online Sale: 2%
http://www.eresin.com.tr,Accommodations,25489,Eresin(Europe),Active,https://eresin.sjv.io/c/7401119/2041475/25489,true,Online Booking: 4%
http://esimcard.com,Mobile Services & Telecommunications,30402,eSim Card(US),Active,https://esimcardus.sjv.io/c/7401119/2521681/30402,true,Online booking: 4%
http://www.esimatic.com,Internet Service Provider,21770,Esimatic Ltd.,Active,https://esimsia.sjv.io/c/7401119/1826566/21770,true,"Purchase: 10%
Esimatic - Android: 10%
Esimatic - iOS: 10%
Esimatic - Android: 0%
Esimatic - iOS: 0%"
https://esimo.io,Transportation,48791,eSIMo,Active,https://esimo.pxf.io/c/7401119/3792662/48791,true,"eSIMo - Android: 10%
Sales: 10%
eSIMo - iOS: 10%
eSIMo - Android: 0%
eSIMo - Android: 0%
eSIMo - iOS: 0%
eSIMo - iOS: 0%"
https://www.esmondnaturalusa.com,Diet & Nutrition,40711,Esmond Natural USA,Active,https://esmondnatural.sjv.io/c/7401119/3225303/40711,true,Online sale: 10%
https://etravelsim.com,Accessories & Services,24670,EtravelSIM,Active,https://etravelsim.pxf.io/c/7401119/2002541/24670,true,Online Sale: 11%
https://de.eureka.com/,Household Essentials & Services,27583,Eureka EU,Active,https://eueurekacom.sjv.io/c/7401119/2159438/27583,true,Online Sale: 12%
https://www.eurooptic.com,Sports Apparel & Accessories,35464,EuroOptic,Active,https://eurooptic.sjv.io/c/7401119/2973190/35464,true,Online Sale: 1%-15%
www.justfitpro.com,Apps,24460,JustFit,Active,https://justfit.sjv.io/c/7401119/1989820/24460,true,"Online Sale: 45%
iOS-JustFit: 35%
Android-JustFit: 35%
iOS-JustFit: 0%
Android-JustFit: 0%"
www.justfitpro.com,Apps,24461,Me+ Daily Routine Planner ,Active,https://me.sjv.io/c/7401119/1989822/24461,true,"Android-Me+: 35%
iOS-Me+: 35%
Android-Me+: 0%
iOS-Me+: 0%"
www.justfitpro.com,Apps,24462,"ShutEye®: Sleep Tracker, Sound",Active,https://shuteye.pxf.io/c/7401119/1989824/24462,true,"iOS-ShutEye: 35%
Android-ShutEye: 35%
iOS-ShutEye: 0%
Android-ShutEye: 0%"
